stringId,default
report.reporting.labRequestPendingCount,Total requests with a status of results pending
report.reporting.labRequestPriority,Priority
report.reporting.labRequestPublishedCount,Total requests published
report.reporting.labRequestPublishedDateTime,Lab request published date and time
report.reporting.labRequestSampleCollectedBy,Sample collected by
report.reporting.labRequestSampleCollectionDateTime,Sample collection date and time
report.reporting.labRequestSampleSite,Site
report.reporting.labRequestSpecimenType,Specimen type
report.reporting.labRequestStatus,Status
report.reporting.labRequests,Lab requests
report.reporting.labTestCategory,Test category
report.reporting.labTestCompletedDateTime,Lab test completed date and time
report.reporting.labTestDate,Lab test date
report.reporting.labTestPanel,Lab test panel
report.reporting.labTestRequested,Test requested
report.reporting.labTestResults,Result
report.reporting.labTestType,Lab test type
report.reporting.labTestVerification,Verification
report.reporting.location,Location
report.reporting.locationGroup,Area
report.reporting.locationGroups,Areas
report.reporting.locations,Locations
report.reporting.logAccessAtFacility,Viewed at facility
report.reporting.logAccessBy,Viewed by user
report.reporting.logAccessDatetime,Date and time viewed
report.reporting.logChangeBy,Edited by user
report.reporting.logChangeDateTime,Date and time edited
report.reporting.logChangeRecordCreatedDateTime,Date and time created
report.reporting.medications,Medications
report.reporting.noteEndDateTime,Notes end date and time
report.reporting.noteStartDateTime,Notes start date and time
report.reporting.notes,Notes
report.reporting.patientAge,Age
report.reporting.patientAllergies,Allergies
report.reporting.patientBillingType,Billing type
report.reporting.patientBirthCertificate,Birth certificate
report.reporting.patientBloodType,Blood type
report.reporting.patientCategory,Patient category
report.reporting.patientConditions,Patient conditions
report.reporting.patientContactNumber,Contact number
report.reporting.patientCountryOfBirth,Country of birth
report.reporting.patientCulturalName,Cultural name
report.reporting.patientDateOfBirth,Date of birth
report.reporting.patientDateOfDeath,Date of death
report.reporting.patientDeceasedOrActive,Deceased/Active
report.reporting.patientDisplayId,Patient ID
report.reporting.patientDivision,Division
report.reporting.patientDrivingLicense,Driving license
report.reporting.patientEmergencyContactName,Emergency contact name
report.reporting.patientEmergencyContactNumber,Emergency contact number
report.reporting.patientEthnicity,Ethnicity
report.reporting.patientFather,Father
report.reporting.patientFemaleCount,Total patients (female)
report.reporting.patientFirstName,First name
report.reporting.patientInsurancePolicyNumber,Insurance policy number
report.reporting.patientLastName,Last name
report.reporting.patientMaleCount,Total patients (male)
report.reporting.patientMaritalStatus,Marital status
report.reporting.patientMedicalArea,Medical area
report.reporting.patientMiddleName,Middle name
report.reporting.patientMother,Mother
report.reporting.patientName,Patient name
report.reporting.patientNationality,Nationality
report.reporting.patientOccupation,Occupation
report.reporting.patientPassport,Passport
report.reporting.patientPlaceOfBirth,Place of birth
report.reporting.patientPrimaryContactNumber,Primary contact number
report.reporting.patientRegisteredBy,Registered by
report.reporting.patientRegistrationDate,Registration date
report.reporting.patientRegistrationType,Registration type
report.reporting.patientReligion,Religion
report.reporting.patientSSN,Social security number
report.reporting.patientSecondaryContactNumber,Secondary contact number
report.reporting.patientSex,Sex
report.reporting.patientStreetVillage,Street / Village
report.reporting.patientSubDivision,Sub-division
report.reporting.patientTitle,Title
report.reporting.patientTotal,Total patients
report.reporting.patientTotalBirthRegistrations,Total birth registrations
report.reporting.patientTotalIncorrectRegistrationsForAgedUnder6Months,Total incorrect registrations for aged under 6 months
report.reporting.patientTotalMerged,Total patients merged
report.reporting.patientTotalPatientRegistrations,Total patient registrations
report.reporting.patientTotalWithIncompleteName,Total patients with incomplete name
report.reporting.patientTotalWithInvalidDateOfBirth,Total patients with invalid date of birth
report.reporting.patientTotalWithMissingContact,Total patients with missing contact
report.reporting.patientTotalWithMissingDateOfBirth,Total patients with missing date of birth
report.reporting.patientTotalWithMissingLocation,Total patients with missing location
report.reporting.patientVillage,Village
report.reporting.paymentAmount,Applied payment (amount)
report.reporting.paymentDate,Payment date
report.reporting.paymentMethod,Method
report.reporting.paymentReceiptNumber,Receipt number
report.reporting.paymentReceivedBy,Tamanu user name
report.reporting.prescriptionDate,Prescription date
report.reporting.prescriptionDoseAmount,Dose amount
report.reporting.prescriptionFrequency,Frequency
report.reporting.prescriptionIsOngoing,Is ongoing
report.reporting.prescriptionIsPRN,Is PRN
report.reporting.prescriptionIsVariableDose,Is variable dose
report.reporting.prescriptionMedication,Medication
report.reporting.prescriptionMedicationCode,Code
report.reporting.prescriptionQuantity,Quantity
report.reporting.prescriptionRepeats,Repeats
report.reporting.prescriptionRoute,Route
report.reporting.prescriptionSelectedForDischarge,Prescription selected for discharge
report.reporting.prescriptionDosingUnit,Dosing unit
report.reporting.prescriptionDispensingUnit,Dispensing unit
report.reporting.prescriptionUnitConversion,Unit conversion
report.reporting.procedure,Procedure
report.reporting.procedureAnaesthetist,Procedure anaesthetist
report.reporting.procedureAssistant,Procedure assistant
report.reporting.procedureAssistantAnaesthetist,Procedure assistant anesthetist
report.reporting.procedureClinician,Procedure clinician
report.reporting.procedureDate,Procedure date
report.reporting.procedureDuration,Procedure duration
report.reporting.procedureEndDateTime,Procedure end (date and time)
report.reporting.procedureFacility,Procedure facility
report.reporting.procedureIsCompleted,Procedure marked as completed
report.reporting.procedureLocation,Procedure location
report.reporting.procedureLocationGroup,Procedure area
report.reporting.procedureStartDateTime,Procedure start (date and time)
report.reporting.procedureTimeIn,Procedure time in
